哪個函數用來設定圖形邊框顏色？,"fill()","stroke()","rect()","colorMode()","B"
哪個函數可以清除畫布並填上指定背景色？,"clear()","background()","reset()","erase()","B"
在 p5.js 中，畫一個圓形要用哪個函數？,"ellipse()","circle()","oval()","round()","A"
如果要偵測使用者是否按下滑鼠，應使用哪個事件函數？,"keyPressed()","mousePressed()","onClick()","mouseClicked()","B"
要讓程式停止連續執行 draw()，應該使用哪個函數？,"stop()","noLoop()","endDraw()","break()","B"
如果想重新啟動 draw() 的循環，應使用哪個函數？,"restart()","loop()","run()","startDraw()","B"
在 p5.js 中，文字可以使用哪個函數顯示？,"text()","write()","print()","label()","A"
若要設定字體大小，應使用哪個函數？,"fontSize()","setTextSize()","textSize()","styleText()","C"
哪個函數可以偵測鍵盤被按下？,"keyPressed()","keyDown()","keyType()","pressKey()","A"
若想讓程式在每次執行前先載入音樂或圖片等資源，應放在哪個函數中？,"setup()","preload()","draw()","load()","B"
